features,feature_count,cv_auc
"fragments_fit_score, fragments_score, fragments_coverage, diagnose_raw_cosine",4,0.8383292383292383
"fragments_correlation, fragments_coverage, diagnose_raw_cosine",3,0.8382882882882883
"fragments_correlation, fragments_css, fragments_coverage, diagnose_raw_cosine",4,0.8382882882882883
"fragments_correlation, fragments_rawcos, fragments_coverage, diagnose_raw_cosine",4,0.8382882882882883
"fragments_fit_score, fragments_coverage, diagnose_raw_cosine, diagnose_area_covered",4,0.8381654381654382
"fragments_score, fragments_correlation, fragments_coverage, diagnose_raw_cosine",4,0.8381654381654382
"fragments_fit_score, fragments_coverage, diagnose_raw_cosine",3,0.838042588042588
"fragments_css, fragments_coverage, diagnose_raw_cosine, diagnose_top_peaks",4,0.838042588042588
"fragments_fit_score, fragments_coverage, fragments_unexplained, diagnose_raw_cosine",4,0.838042588042588
"fragments_fit_score, fragments_css, fragments_coverage, diagnose_raw_cosine",4,0.838042588042588
"fragments_fit_score, fragments_rawcos, fragments_coverage, diagnose_raw_cosine",4,0.838042588042588
"fragments_coverage, diagnose_raw_cosine, diagnose_isodec_css, diagnose_top_peaks",4,0.838001638001638
"fragments_score, fragments_pc_missing_peaks, diagnose_raw_cosine, diagnose_area_covered",4,0.837960687960688
"fragments_fit_score, fragments_correlation, diagnose_top_peaks",3,0.8379402129402129
"fragments_fit_score, fragments_correlation, fragments_unexplained, diagnose_top_peaks",4,0.8379402129402129
"fragments_pc_missing_peaks, fragments_coverage, diagnose_raw_cosine, diagnose_top_peaks",4,0.8378378378378378
"fragments_fit_score, fragments_correlation, fragments_css, diagnose_top_peaks",4,0.8377764127764128
"fragments_fit_score, fragments_pc_missing_peaks, diagnose_final_cosine, diagnose_top_peaks",4,0.8377354627354627
"fragments_fit_score, fragments_correlation, diagnose_area_covered, diagnose_top_peaks",4,0.8376740376740377
"fragments_fit_score, fragments_score, fragments_correlation, diagnose_top_peaks",4,0.8376126126126127
"fragments_fit_score, fragments_correlation, fragments_coverage, diagnose_top_peaks",4,0.8375716625716626
"fragments_pc_missing_peaks, diagnose_raw_cosine, diagnose_top_peaks",3,0.8375511875511875
"fragments_fit_score, diagnose_raw_cosine, diagnose_isodec_css, diagnose_final_cosine",4,0.8374692874692875
"fragments_correlation, fragments_coverage, fragments_unexplained, diagnose_raw_cosine",4,0.8373464373464373
"fragments_fit_score, diagnose_raw_cosine, diagnose_final_cosine",3,0.8371007371007371
"fragments_fit_score, fragments_css, diagnose_raw_cosine, diagnose_final_cosine",4,0.8371007371007371
"fragments_fit_score, fragments_rawcos, diagnose_raw_cosine, diagnose_final_cosine",4,0.8371007371007371
"fragments_fit_score, fragments_unexplained, diagnose_raw_cosine, diagnose_final_cosine",4,0.8371007371007371
"fragments_rawcos, fragments_pc_missing_peaks, diagnose_raw_cosine, diagnose_top_peaks",4,0.8370188370188371
"fragments_fit_score, fragments_coverage, diagnose_raw_cosine, diagnose_final_cosine",4,0.8368959868959869
"fragments_fit_score, fragments_correlation, fragments_pc_missing_peaks",3,0.8367731367731368
"fragments_fit_score, diagnose_raw_cosine, diagnose_final_cosine, diagnose_area_covered",4,0.8367731367731368
"fragments_fit_score, fragments_correlation, fragments_pc_missing_peaks, fragments_coverage",4,0.8367731367731368
"fragments_coverage, diagnose_raw_cosine, diagnose_area_covered, diagnose_top_peaks",4,0.8366093366093366
"fragments_fit_score, fragments_score, diagnose_raw_cosine, diagnose_final_cosine",4,0.8366093366093366
"fragments_correlation, fragments_coverage, diagnose_raw_cosine, diagnose_area_covered",4,0.8365274365274366
"fragments_fit_score, fragments_correlation, diagnose_final_cosine, diagnose_top_peaks",4,0.8364250614250615
"fragments_score, fragments_pc_missing_peaks, diagnose_isodec_css, diagnose_final_cosine",4,0.8363226863226864
"fragments_score, fragments_pc_missing_peaks, diagnose_raw_cosine, diagnose_final_cosine",4,0.8363226863226864
"fragments_fit_score, fragments_correlation, fragments_rawcos, fragments_pc_missing_peaks",4,0.8361179361179362
"fragments_fit_score, fragments_score, fragments_correlation, fragments_pc_missing_peaks",4,0.8360769860769861
"fragments_pc_missing_peaks, fragments_css, diagnose_raw_cosine, diagnose_top_peaks",4,0.8359541359541359
"fragments_correlation, fragments_coverage, diagnose_raw_cosine, diagnose_final_cosine",4,0.8357903357903358
"fragments_pc_missing_peaks, diagnose_raw_cosine, diagnose_area_covered, diagnose_top_peaks",4,0.8355855855855856
"fragments_pc_missing_peaks, fragments_unexplained, diagnose_raw_cosine, diagnose_top_peaks",4,0.8352989352989353
"fragments_pc_missing_peaks, diagnose_raw_cosine, diagnose_isodec_css, diagnose_top_peaks",4,0.8351760851760852
"fragments_fit_score, fragments_pc_missing_peaks, diagnose_top_peaks",3,0.8351146601146601
"fragments_fit_score, fragments_pc_missing_peaks, fragments_coverage, diagnose_top_peaks",4,0.8351146601146601
"fragments_fit_score, fragments_pc_missing_peaks, fragments_unexplained, diagnose_top_peaks",4,0.8351146601146601
"fragments_coverage, diagnose_raw_cosine, diagnose_final_cosine, diagnose_top_peaks",4,0.834930384930385
"fragments_fit_score, diagnose_final_cosine, diagnose_top_peaks",3,0.8348689598689598
"fragments_fit_score, fragments_unexplained, diagnose_final_cosine, diagnose_top_peaks",4,0.8348689598689598
"fragments_fit_score, fragments_correlation, fragments_pc_missing_peaks, fragments_css",4,0.8347665847665847
"fragments_fit_score, fragments_score, fragments_pc_missing_peaks, diagnose_top_peaks",4,0.8346232596232597
"fragments_fit_score, fragments_correlation, fragments_rawcos, diagnose_top_peaks",4,0.8344799344799345
"fragments_fit_score, fragments_css, diagnose_final_cosine, diagnose_top_peaks",4,0.8342956592956593
"fragments_score, fragments_coverage, diagnose_isodec_css",3,0.8341932841932842
"fragments_score, fragments_coverage, diagnose_isodec_css, diagnose_area_covered",4,0.8341932841932842
"fragments_score, fragments_coverage, fragments_unexplained, diagnose_isodec_css",4,0.8341932841932842
"fragments_score, fragments_rawcos, fragments_coverage, diagnose_isodec_css",4,0.8341932841932842
"fragments_fit_score, fragments_score, diagnose_area_covered, diagnose_top_peaks",4,0.8341523341523341
"fragments_fit_score, fragments_coverage, diagnose_final_cosine, diagnose_top_peaks",4,0.8341318591318592
"fragments_fit_score, diagnose_area_covered, diagnose_top_peaks",3,0.834070434070434
"fragments_fit_score, fragments_unexplained, diagnose_area_covered, diagnose_top_peaks",4,0.834070434070434
"fragments_score, fragments_css, fragments_coverage, diagnose_isodec_css",4,0.834070434070434
"fragments_fit_score, fragments_score, diagnose_final_cosine, diagnose_top_peaks",4,0.833927108927109
"fragments_fit_score, fragments_css, diagnose_area_covered, diagnose_top_peaks",4,0.8337837837837838
"fragments_score, fragments_correlation, diagnose_raw_cosine, diagnose_top_peaks",4,0.8337428337428338
"fragments_score, fragments_correlation, diagnose_isodec_css",3,0.8336609336609336
"fragments_score, fragments_correlation, diagnose_isodec_css, diagnose_area_covered",4,0.8336609336609336
"fragments_score, fragments_correlation, diagnose_isodec_css, diagnose_final_cosine",4,0.8336609336609336
"fragments_score, fragments_correlation, diagnose_isodec_css, diagnose_top_peaks",4,0.8336609336609336
"fragments_score, fragments_correlation, fragments_css, diagnose_isodec_css",4,0.8336609336609336
"fragments_score, fragments_correlation, fragments_rawcos, diagnose_isodec_css",4,0.8336609336609336
"fragments_score, fragments_correlation, fragments_unexplained, diagnose_isodec_css",4,0.8336609336609336
"fragments_fit_score, fragments_correlation, fragments_pc_missing_peaks, diagnose_final_cosine",4,0.8335790335790336
"fragments_score, fragments_coverage, diagnose_isodec_css, diagnose_top_peaks",4,0.8335790335790336
"fragments_fit_score, fragments_pc_missing_peaks, diagnose_final_cosine, diagnose_area_covered",4,0.8332104832104832
"fragments_fit_score, diagnose_final_cosine, diagnose_area_covered, diagnose_top_peaks",4,0.8330876330876331
"fragments_fit_score, fragments_rawcos, fragments_pc_missing_peaks, diagnose_top_peaks",4,0.8330466830466831
"fragments_score, fragments_coverage, diagnose_raw_cosine, diagnose_isodec_css",4,0.8327600327600327
"fragments_fit_score, fragments_rawcos, diagnose_final_cosine, diagnose_top_peaks",4,0.8326781326781327
"fragments_fit_score, fragments_pc_missing_peaks, fragments_css, diagnose_top_peaks",4,0.8326371826371827
"fragments_fit_score, diagnose_top_peaks",2,0.8326167076167076
"fragments_fit_score, fragments_unexplained, diagnose_top_peaks",3,0.8326167076167076
"fragments_pc_missing_peaks, fragments_coverage, diagnose_raw_cosine",3,0.8325552825552825
"fragments_rawcos, fragments_pc_missing_peaks, fragments_coverage, diagnose_raw_cosine",4,0.8323914823914824
"fragments_fit_score, fragments_score, fragments_pc_missing_peaks, diagnose_area_covered",4,0.8321867321867322
"fragments_fit_score, fragments_pc_missing_peaks, diagnose_area_covered",3,0.8321457821457822
"fragments_fit_score, fragments_pc_missing_peaks, fragments_coverage, diagnose_area_covered",4,0.8321457821457822
"fragments_fit_score, fragments_pc_missing_peaks, fragments_unexplained, diagnose_area_covered",4,0.8321457821457822
"fragments_pc_missing_peaks, fragments_coverage, diagnose_raw_cosine, diagnose_isodec_css",4,0.8321048321048321
"fragments_coverage, diagnose_raw_cosine, diagnose_isodec_css",3,0.831981981981982
"fragments_pc_missing_peaks, diagnose_raw_cosine, diagnose_isodec_css, diagnose_final_cosine",4,0.831981981981982
"fragments_rawcos, fragments_coverage, diagnose_raw_cosine, diagnose_isodec_css",4,0.831981981981982
"fragments_fit_score, fragments_coverage, diagnose_area_covered, diagnose_top_peaks",4,0.8319000819000819
"fragments_fit_score, fragments_coverage, diagnose_top_peaks",3,0.8318796068796068
"fragments_fit_score, fragments_coverage, fragments_unexplained, diagnose_top_peaks",4,0.8318796068796068
"fragments_score, fragments_coverage, diagnose_raw_cosine",3,0.8318181818181818
"fragments_score, fragments_coverage, fragments_unexplained, diagnose_raw_cosine",4,0.8318181818181818
"fragments_score, fragments_rawcos, fragments_coverage, diagnose_raw_cosine",4,0.8318181818181818
"fragments_fit_score, fragments_pc_missing_peaks, fragments_css, diagnose_area_covered",4,0.8316543816543817
"fragments_score, fragments_css, fragments_coverage, diagnose_raw_cosine",4,0.8316543816543817
"fragments_pc_missing_peaks, diagnose_isodec_css, diagnose_final_cosine, diagnose_top_peaks",4,0.8314496314496315
"fragments_pc_missing_peaks, diagnose_raw_cosine, diagnose_final_cosine",3,0.8314086814086814
"fragments_pc_missing_peaks, diagnose_raw_cosine, diagnose_isodec_css, diagnose_area_covered",4,0.8314086814086814
"fragments_pc_missing_peaks, fragments_css, diagnose_raw_cosine, diagnose_final_cosine",4,0.8314086814086814
"fragments_fit_score, fragments_correlation, fragments_pc_missing_peaks, fragments_unexplained",4,0.8313267813267813
"fragments_correlation, fragments_rawcos, fragments_coverage, diagnose_top_peaks",4,0.8312039312039312
"fragments_fit_score, fragments_score, diagnose_top_peaks",3,0.8311834561834562
"fragments_fit_score, fragments_score, fragments_unexplained, diagnose_top_peaks",4,0.8311834561834562
"fragments_css, fragments_coverage, diagnose_raw_cosine, diagnose_isodec_css",4,0.8311629811629812
